,country,continent,share_global_co2,year
4723,China,Asia,30.65,2020
24661,United States,Americas,13.54,2020
11277,India,Asia,7.02,2020
19597,Russia,Asia,4.53,2020
12336,Japan,Asia,2.96,2020
21474,South America,Americas,2.86,2020
11595,Iran,Asia,2.14,2020
9619,Germany,Europe,1.85,2020
20269,Saudi Arabia,Asia,1.8,2020
21590,South Korea,Asia,1.72,2020
11409,Indonesia,Asia,1.69,2020
4280,Canada,Americas,1.54,2020
3486,Brazil,Americas,1.34,2020
21337,South Africa,Africa,1.3,2020
1595,Australia,Oceania,1.13,2020
23592,Turkey,Europe,1.13,2020
15170,Mexico,Americas,1.03,2020
24440,United Kingdom,Europe,0.95,2020
12112,Italy,Europe,0.87,2020
